GP022552158
TEST NBR 00123
LMG6 GPS
EDWARDS AFB, CA
2132Z  12 SEP 17

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

 11000 153  14.5 .028   8.0   2.8  684.56  69  5.75  844.72 224 655  7.46 19
 11100 156  14.5 .011   7.7   2.9  682.09  72  5.83  842.52 224 655  7.55 19
 11200 158  14.1 .010   7.4   2.9  679.58  73  5.81  840.32 224 654  7.52 19
 11300 164  16.7 .051   7.1   2.8  677.07  74  5.79  838.11 223 654  7.49 20
 11400 166  19.3 .046   7.0   2.7  674.54  74  5.74  835.30 222 654  7.42 20
 11500 165  19.3 .005   6.9   2.5  672.07  74  5.66  832.57 221 654  7.32 20
 11600 163  19.1 .014   6.6   2.3  669.56  74  5.59  830.39 220 653  7.21 20
 11700 162  20.8 .029   6.2   2.1  667.15  75  5.53  828.50 219 653  7.13 20
 11800 164  22.6 .034   6.0   2.1  664.64  76  5.51  826.13 219 653  7.10 20
 11900 170  24.1 .046   5.8   2.1  662.16  77  5.52  823.58 218 652  7.10 21
 12000 174  25.8 .042   5.6   1.9  659.69  77  5.44  821.14 217 652  7.00 21
 12100 176  27.3 .030   5.4   1.9  657.26  78  5.44  818.68 217 652  7.00 21
 12200 177  27.7 .010   5.3   1.5  654.86  76  5.28  815.98 215 652  6.79 21
 12300 179  27.7 .016   5.1   1.4  652.38  77  5.27  813.57 215 652  6.77 21
 12400 183  28.3 .034   5.0   1.3  650.01  77  5.23  810.91 214 651  6.72 21
 12500 186  30.0 .039   4.7   1.2  647.54  78  5.20  808.71 213 651  6.66 22
 12600 186  32.3 .039   4.4   1.1  645.17  79  5.18  806.64 213 651  6.64 22
 12700 186  33.7 .024   4.2   0.9  642.73  79  5.09  804.16 211 650  6.51 22
 12800 186  33.3 .007   4.0   0.7  640.35  79  5.02  801.84 211 650  6.43 22
 12900 186  33.3 .000   3.8   0.7  638.02  80  5.02  799.48 210 650  6.42 22
 13000 186  32.1 .020   3.6   0.8  635.57  82  5.08  796.97 210 650  6.48 22
 13100 187  30.8 .024   3.3   1.0  633.20  85  5.14  794.79 210 649  6.55 23
 13200 187  29.6 .019   3.1   0.7  630.89  84  5.03  792.53 209 649  6.41 23
 13300 187  30.9 .021   2.9   0.3  628.48  83  4.90  790.14 207 649  6.25 23
 13400 188  30.7 .010   2.9   0.6  626.11  84  5.00  786.98 207 649  6.36 23
 13500 189  29.1 .028   2.7   0.3  623.77  84  4.89  784.78 206 649  6.22 23
 13600 189  28.8 .005   2.5   0.1  621.47  84  4.83  782.47 205 648  6.14 23
 13700 190  29.6 .017   2.3  -0.2  619.10  84  4.75  780.10 204 648  6.04 23
 13800 186  30.1 .034   2.0  -0.2  616.77  85  4.73  777.94 204 648  6.01 24
 13900 179  30.2 .064   2.0  -1.1  614.45  80  4.45  775.25 201 648  5.65 24
 14000 184  30.0 .041   2.0  -1.1  612.22  80  4.45  772.43 200 648  5.65 24
 14100 188  30.6 .041   1.9  -1.0  609.89  81  4.47  769.74 200 648  5.68 24
 14200 186  30.0 .020   1.8  -1.4  607.61  79  4.33  767.21 199 647  5.50 24
 14300 186  30.4 .007   1.5  -1.7  605.35  79  4.24  765.24 198 647  5.38 24
 14400 186  31.2 .013   1.3  -1.7  603.00  80  4.25  762.95 197 647  5.38 24
 14500 185  31.8 .013   1.1  -2.0  600.74  80  4.18  760.54 196 647  5.29 25
 14600 185  32.1 .007   0.6  -1.8  598.47  84  4.24  758.97 196 646  5.36 25
 14700 187  33.5 .032   0.3  -1.9  596.27  85  4.21  757.07 196 646  5.31 25
 14800 188  34.3 .016   0.1  -2.1  593.98  85  4.15  754.68 195 645  5.24 25
 14900 187  34.1 .013  -0.2  -2.3  591.73  86  4.10  752.81 194 645  5.17 25
 15000 184  34.3 .032  -0.5  -2.3  589.46  87  4.10  750.67 194 645  5.15 25
 15100 180  34.7 .036  -0.8  -2.8  587.24  86  3.95  748.71 192 644  4.97 25
 15200 179  33.6 .020  -0.7  -4.7  584.99  74  3.42  745.85 188 644  4.30 25
 15300 182  32.5 .035  -0.3  -4.9  582.79  71  3.37  742.04 187 645  4.24 25
 15400 184  33.3 .026  -0.5  -5.1  580.61  71  3.32  739.93 186 644  4.17 26
 15500 187  34.8 .036  -0.8  -5.8  578.39  69  3.16  737.90 185 644  3.98 26
 15600 185  34.3 .022  -0.9  -6.7  576.23  65  2.94  735.55 183 644  3.70 26
 15700 184  34.5 .011  -1.1  -7.8  574.02  60  2.71  733.40 181 644  3.41 26
