time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
322.8,478.926787104,-526.791266624,1.242399058,21329.0682414698,8.90520466802631,6.76207926512233,284.088556890267,-0.209037773881415,-0.0169100679070559,-0.49979010976649,0.0510048606168756,-0.938412736311989
322.85,476.834945408,-528.413162496,1.307380083,21329.0682414698,8.90520466802631,6.76207926512233,284.091722037214,-0.209066923996635,-0.0170181694251526,-0.49931074077573,0.0511007344150276,-0.939946717082422
322.9,476.834945408,-528.413162496,1.307380083,21329.0682414698,8.90520466802631,6.76207926512233,284.091722037214,-0.209212674572735,-0.0170301807049411,-0.499023119381273,0.0511007344150276,-0.940905455063942
322.95,476.834945408,-528.413162496,1.307380083,21329.0682414698,8.90520466802631,6.76207926512233,284.101217478054,-0.209154374342295,-0.0170181694251526,-0.498447876592361,0.0512924820113317,-0.942343562036222
323,476.834945408,-528.413162496,1.307380083,21328.7401574803,8.90520466802631,6.76207926512233,284.101217478054,-0.209096074111855,-0.0170662145443067,-0.498160255197905,0.0513883558094837,-0.943398173815895
323.05,473.616539648,-530.88561088,1.370909881,21328.7401574803,8.90515220657079,6.76217669353972,284.101217478054,-0.209183524457515,-0.0170421919847297,-0.497585012408993,0.0513883558094837,-0.944836280788175
323.1,473.616539648,-530.88561088,1.370909881,21328.7401574803,8.90515220657079,6.76217669353972,284.101217478054,-0.208775422844435,-0.01695811302621,-0.497105643418233,0.0515801034057877,-0.945795018769695
323.15,473.616539648,-530.88561088,1.370909881,21328.7401574803,8.90515220657079,6.76217669353972,284.101217478054,-0.208775422844435,-0.0169941468655755,-0.496338653033017,0.0515801034057877,-0.947233125741975
323.2,473.616539648,-530.88561088,1.370909881,21328.4120734908,8.90515220657079,6.76217669353972,284.104382625001,-0.209183524457515,-0.0171863273421919,-0.495955157840409,0.0516759772039397,-0.948287737521648
323.25,471.448112832,-532.53112304,1.380124505,21328.4120734908,8.90515220657079,6.76217669353972,284.107547771948,-0.209270974803175,-0.0170061581453641,-0.495188167455193,0.0516759772039397,-0.949725844493928
